id,电影详情链接,图片链接,标题,标题2,评分,评价人数,一句话概述,其他信息
1,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,The Shawshank Redemption,9.7,2166016,希望让人自由。,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...1994/美国/犯罪剧情
2,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬,再见，我的妾  /  Farewell My Concubine,9.6,1605044,风华绝代。,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...1993/中国大陆中国香港/剧情爱情同性
3,https://movie.douban.com/subject/1292720/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,Forrest Gump,9.5,1635078,一部美国近现代史。,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks/...1994/美国/剧情爱情
4,https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,Léon,9.4,1820423,怪蜀黍和小萝莉不得不说的故事。,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...1994/法国美国/剧情动作犯罪
5,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,Titanic,9.4,1589294,失去的才是永恒的。,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...1997/美国/剧情爱情灾难
6,https://movie.douban.com/subject/1292063/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,La vita è bella,9.5,1015794,最美的谎言。,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...1997/意大利/剧情喜剧爱情战争
7,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,千と千尋の神隠し,9.4,1702693,最好的宫崎骏，最好的久石让。,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...2001/日本/剧情动画奇幻
8,https://movie.douban.com/subject/1295124/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,Schindler's List,9.5,833332,拯救一个人，就是拯救整个世界。,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...1993/美国/剧情历史战争
9,https://movie.douban.com/subject/3541415/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,盗梦空间,Inception,9.3,1590518,诺兰给了我们一场无法盗取的梦。,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...2010/美国英国/剧情科幻悬疑冒险
10,https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,忠犬八公的故事,Hachi: A Dog's Tale,9.4,1085086,永远都不能忘记你所爱的人。,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...2009/美国英国/剧情
